framework,workload,runid,wall_time_sec,max_rss_kb,logfile
hadoop,A,1,20.16,27648,experiments/logs/hadoop_A_run1_data.time.txt
hadoop,A,1,19.26,27264,experiments/logs/hadoop_A_run1_data_large.time.txt
hadoop,A,1,20.28,27136,experiments/logs/hadoop_A_run1_data_small.time.txt
hadoop,A,2,19.48,27392,experiments/logs/hadoop_A_run2_data.time.txt
hadoop,A,2,19.77,27264,experiments/logs/hadoop_A_run2_data_large.time.txt
hadoop,A,2,20.05,26880,experiments/logs/hadoop_A_run2_data_small.time.txt
hadoop,A,3,19.89,27008,experiments/logs/hadoop_A_run3_data.time.txt
hadoop,A,3,20.37,27648,experiments/logs/hadoop_A_run3_data_large.time.txt
hadoop,A,3,19.21,27008,experiments/logs/hadoop_A_run3_data_small.time.txt
hadoop,B,1,19.15,27392,experiments/logs/hadoop_B_run1_data.time.txt
hadoop,B,1,21.86,27008,experiments/logs/hadoop_B_run1_data_large.time.txt
hadoop,B,1,19.11,27008,experiments/logs/hadoop_B_run1_data_small.time.txt
hadoop,B,2,20.18,27264,experiments/logs/hadoop_B_run2_data.time.txt
hadoop,B,2,20.02,27392,experiments/logs/hadoop_B_run2_data_large.time.txt
hadoop,B,2,19.53,27264,experiments/logs/hadoop_B_run2_data_small.time.txt
hadoop,B,3,20.05,27264,experiments/logs/hadoop_B_run3_data.time.txt
hadoop,B,3,21.19,27648,experiments/logs/hadoop_B_run3_data_large.time.txt
hadoop,B,3,20.1,27264,experiments/logs/hadoop_B_run3_data_small.time.txt
hadoop,C,1,22.28,27520,experiments/logs/hadoop_C_run1_data.time.txt
hadoop,C,1,21.66,27392,experiments/logs/hadoop_C_run1_data_large.time.txt
hadoop,C,1,22.85,27392,experiments/logs/hadoop_C_run1_data_small.time.txt
hadoop,C,2,22.84,26880,experiments/logs/hadoop_C_run2_data.time.txt
hadoop,C,2,22.67,27392,experiments/logs/hadoop_C_run2_data_large.time.txt
hadoop,C,2,22.44,27648,experiments/logs/hadoop_C_run2_data_small.time.txt
hadoop,C,3,24.6,27392,experiments/logs/hadoop_C_run3_data.time.txt
hadoop,C,3,22.33,27648,experiments/logs/hadoop_C_run3_data_large.time.txt
hadoop,C,3,28.76,26880,experiments/logs/hadoop_C_run3_data_small.time.txt
mongo,A,1,0.53,27392,experiments/logs/mongo_A_run1_data.time.txt
mongo,A,1,0.43,27648,experiments/logs/mongo_A_run1_data_large.time.txt
mongo,A,1,1.47,26880,experiments/logs/mongo_A_run1_data_small.time.txt
mongo,A,2,0.6,27136,experiments/logs/mongo_A_run2_data.time.txt
mongo,A,2,0.45,27136,experiments/logs/mongo_A_run2_data_large.time.txt
mongo,A,2,0.45,27392,experiments/logs/mongo_A_run2_data_small.time.txt
mongo,A,3,0.43,27008,experiments/logs/mongo_A_run3_data.time.txt
mongo,A,3,0.41,27520,experiments/logs/mongo_A_run3_data_large.time.txt
mongo,A,3,0.44,27520,experiments/logs/mongo_A_run3_data_small.time.txt
mongo,B,1,0.46,27520,experiments/logs/mongo_B_run1_data.time.txt
mongo,B,1,0.48,27136,experiments/logs/mongo_B_run1_data_large.time.txt
mongo,B,1,0.47,27520,experiments/logs/mongo_B_run1_data_small.time.txt
mongo,B,2,0.44,27136,experiments/logs/mongo_B_run2_data.time.txt
mongo,B,2,0.43,27520,experiments/logs/mongo_B_run2_data_large.time.txt
mongo,B,2,0.44,27008,experiments/logs/mongo_B_run2_data_small.time.txt
mongo,B,3,0.45,27392,experiments/logs/mongo_B_run3_data.time.txt
mongo,B,3,0.42,27520,experiments/logs/mongo_B_run3_data_large.time.txt
mongo,B,3,0.42,27136,experiments/logs/mongo_B_run3_data_small.time.txt
mongo,C,1,0.74,27520,experiments/logs/mongo_C_run1_data.time.txt
mongo,C,1,0.73,27392,experiments/logs/mongo_C_run1_data_large.time.txt
mongo,C,1,1.13,26624,experiments/logs/mongo_C_run1_data_small.time.txt
mongo,C,2,0.7,27136,experiments/logs/mongo_C_run2_data.time.txt
mongo,C,2,0.65,27136,experiments/logs/mongo_C_run2_data_large.time.txt
mongo,C,2,0.72,26880,experiments/logs/mongo_C_run2_data_small.time.txt
mongo,C,3,0.67,27520,experiments/logs/mongo_C_run3_data.time.txt
mongo,C,3,0.65,27008,experiments/logs/mongo_C_run3_data_large.time.txt
mongo,C,3,0.78,27520,experiments/logs/mongo_C_run3_data_small.time.txt
spark,A,1,7.52,27392,experiments/logs/spark_A_run1_data.time.txt
spark,A,1,7.49,27776,experiments/logs/spark_A_run1_data_large.time.txt
spark,A,1,9.4,27648,experiments/logs/spark_A_run1_data_small.time.txt
spark,A,2,7.27,27264,experiments/logs/spark_A_run2_data.time.txt
spark,A,2,7.35,27008,experiments/logs/spark_A_run2_data_large.time.txt
spark,A,2,7.34,27136,experiments/logs/spark_A_run2_data_small.time.txt
spark,A,3,7.3,27392,experiments/logs/spark_A_run3_data.time.txt
spark,A,3,8.27,27520,experiments/logs/spark_A_run3_data_large.time.txt
spark,A,3,7.28,27136,experiments/logs/spark_A_run3_data_small.time.txt
spark,B,1,8.15,27264,experiments/logs/spark_B_run1_data.time.txt
spark,B,1,7.48,27136,experiments/logs/spark_B_run1_data_large.time.txt
spark,B,1,6.77,26880,experiments/logs/spark_B_run1_data_small.time.txt
spark,B,2,8.21,27520,experiments/logs/spark_B_run2_data.time.txt
spark,B,2,7.36,27520,experiments/logs/spark_B_run2_data_large.time.txt
spark,B,2,6.78,27392,experiments/logs/spark_B_run2_data_small.time.txt
spark,B,3,7.92,26880,experiments/logs/spark_B_run3_data.time.txt
spark,B,3,7.51,27520,experiments/logs/spark_B_run3_data_large.time.txt
spark,B,3,7.68,26880,experiments/logs/spark_B_run3_data_small.time.txt
spark,C,1,7.31,27392,experiments/logs/spark_C_run1_data.time.txt
spark,C,1,7.62,27008,experiments/logs/spark_C_run1_data_large.time.txt
spark,C,1,7.35,27392,experiments/logs/spark_C_run1_data_small.time.txt
spark,C,2,7.68,27520,experiments/logs/spark_C_run2_data.time.txt
spark,C,2,7.94,27264,experiments/logs/spark_C_run2_data_large.time.txt
spark,C,2,7.47,27520,experiments/logs/spark_C_run2_data_small.time.txt
spark,C,3,7.71,27264,experiments/logs/spark_C_run3_data.time.txt
spark,C,3,8.08,26880,experiments/logs/spark_C_run3_data_large.time.txt
spark,C,3,7.25,27392,experiments/logs/spark_C_run3_data_small.time.txt
