framework,workload,runid,wall_time_sec,max_rss_kb,logfile
mongo,C,2,0.9,26624,experiments/logs/mongo_C_run2_data.time.txt
mongo,C,2,0.77,26496,experiments/logs/mongo_C_run2_data_large.time.txt
mongo,C,2,0.72,27136,experiments/logs/mongo_C_run2_data_small.time.txt
mongo,C,3,0.73,27264,experiments/logs/mongo_C_run3_data.time.txt
mongo,C,3,0.78,26624,experiments/logs/mongo_C_run3_data_large.time.txt
mongo,C,3,0.74,26880,experiments/logs/mongo_C_run3_data_small.time.txt
mongo,C,4,0.74,27008,experiments/logs/mongo_C_run4_data.time.txt
mongo,C,4,0.76,26880,experiments/logs/mongo_C_run4_data_large.time.txt
mongo,C,4,0.73,27008,experiments/logs/mongo_C_run4_data_small.time.txt
mongo,C,5,0.88,26624,experiments/logs/mongo_C_run5_data.time.txt
mongo,C,5,1.02,26752,experiments/logs/mongo_C_run5_data_large.time.txt
mongo,C,5,0.73,26752,experiments/logs/mongo_C_run5_data_small.time.txt
spark,A,1,8.09,26880,experiments/logs/spark_A_run1_data.time.txt
spark,A,1,10.91,26752,experiments/logs/spark_A_run1_data_large.time.txt
spark,A,1,11.73,26752,experiments/logs/spark_A_run1_data_small.time.txt
spark,A,2,6.75,26752,experiments/logs/spark_A_run2_data.time.txt
spark,A,2,7.25,26880,experiments/logs/spark_A_run2_data_large.time.txt
spark,A,2,7.33,26752,experiments/logs/spark_A_run2_data_small.time.txt
spark,A,3,6.71,26624,experiments/logs/spark_A_run3_data.time.txt
spark,A,3,7.24,26880,experiments/logs/spark_A_run3_data_large.time.txt
spark,A,3,7.86,26880,experiments/logs/spark_A_run3_data_small.time.txt
spark,A,4,7.32,26624,experiments/logs/spark_A_run4_data.time.txt
spark,A,4,7.2,26752,experiments/logs/spark_A_run4_data_large.time.txt
spark,A,4,8.21,27008,experiments/logs/spark_A_run4_data_small.time.txt
spark,A,5,6.79,26880,experiments/logs/spark_A_run5_data.time.txt
spark,A,5,7.55,26880,experiments/logs/spark_A_run5_data_large.time.txt
spark,A,5,8.68,26752,experiments/logs/spark_A_run5_data_small.time.txt
spark,B,1,10.67,27520,experiments/logs/spark_B_run1_data.time.txt
spark,B,1,13.01,26752,experiments/logs/spark_B_run1_data_large.time.txt
spark,B,1,8.24,27136,experiments/logs/spark_B_run1_data_small.time.txt
spark,B,2,7.07,26240,experiments/logs/spark_B_run2_data.time.txt
spark,B,2,8.27,27136,experiments/logs/spark_B_run2_data_large.time.txt
spark,B,2,6.9,26752,experiments/logs/spark_B_run2_data_small.time.txt
spark,B,3,7.38,27264,experiments/logs/spark_B_run3_data.time.txt
spark,B,3,7.88,27264,experiments/logs/spark_B_run3_data_large.time.txt
spark,B,3,7.04,26752,experiments/logs/spark_B_run3_data_small.time.txt
spark,B,4,7.63,27136,experiments/logs/spark_B_run4_data.time.txt
spark,B,4,7.83,27136,experiments/logs/spark_B_run4_data_large.time.txt
spark,B,4,6.87,27008,experiments/logs/spark_B_run4_data_small.time.txt
spark,B,5,7.52,26752,experiments/logs/spark_B_run5_data.time.txt
spark,B,5,7.77,27008,experiments/logs/spark_B_run5_data_large.time.txt
spark,B,5,6.89,27136,experiments/logs/spark_B_run5_data_small.time.txt
spark,C,1,13.69,26880,experiments/logs/spark_C_run1_data.time.txt
spark,C,1,11.89,26624,experiments/logs/spark_C_run1_data_large.time.txt
spark,C,1,7.88,27008,experiments/logs/spark_C_run1_data_small.time.txt
spark,C,2,8.42,27008,experiments/logs/spark_C_run2_data.time.txt
spark,C,2,8.4,27264,experiments/logs/spark_C_run2_data_large.time.txt
spark,C,2,7.32,27136,experiments/logs/spark_C_run2_data_small.time.txt
spark,C,3,8.63,27008,experiments/logs/spark_C_run3_data.time.txt
spark,C,3,7.84,27264,experiments/logs/spark_C_run3_data_large.time.txt
spark,C,3,7.74,26624,experiments/logs/spark_C_run3_data_small.time.txt
spark,C,4,7.45,27392,experiments/logs/spark_C_run4_data.time.txt
spark,C,4,9.15,26880,experiments/logs/spark_C_run4_data_large.time.txt
spark,C,4,7.4,27008,experiments/logs/spark_C_run4_data_small.time.txt
spark,C,5,7.54,26624,experiments/logs/spark_C_run5_data.time.txt
spark,C,5,7.42,27136,experiments/logs/spark_C_run5_data_large.time.txt
spark,C,5,7.78,27136,experiments/logs/spark_C_run5_data_small.time.txt
